Trial	ObservationNumber	Tank	Treatment	UniqueTank	Observer	Individual1	Individual2	FacetofaceYN	AntennaeOnlyYN	StartTime	StartTimeMinutes	StartTimeSeconds	EndTime	EndTimeMinutes	EndTimeSeconds	Duration
1	42	2	13	12	Skylar	P	RG	0	0	22:01	22	1	23:20	23	20	79
2	42	6	11	22	Skylar	RB	O	1	0	12:56	12	56	22:50	22	50	594
3	42	4	12	35	Cari	RG	P	1	0	20:15	20	15	27:56:00	27	56	461
4	42	8	10	43	Cari	Y	YG	0	0	22:08	22	8	22:21	22	21	13
1	43	2	13	12	Skylar	G	YB	0	1	29:07:00	29	7	29:08:00	29	8	1
2	43	6	11	22	Skylar	P	R	1	0	13:57	13	57	31:35:00	31	35	1058
3	43	4	12	35	Cari	RB	B	0	1	24:21:00	24	21	24:22:00	24	22	1
4	43	8	10	43	Cari	PG	R	0	0	22:21	22	21	23:39	23	39	78
1	44	2	13	12	Skylar	P	RG	0	0	32:20:00	32	20	38:50:00	38	50	390
2	44	6	11	22	Skylar	YG	RG	1	0	16:17	16	17	17:39:00 PM	17	39	82
3	44.1	4	12	35	Cari	RG	PG	0	1	27:55:00	27	55	27:56:00	27	56	1
4	44.1	8	10	43	Cari	PG	RG	0	0	22:57	22	57	25:36:00	25	36	159
3	44.2	4	12	35	Cari	PG	P	0	1	27:55:00	27	55	27:56:00	27	56	1
4	44.2	8	10	43	Cari	R	RG	0	0	22:57	22	57	25:36:00	25	36	159
1	45	2	13	12	Skylar	B	Y	0	0	41:56:00	41	56	42:05:00	42	5	9
2	45	6	11	22	Skylar	Y	P	1	0	33:55:00	33	55	34:44:00	34	44	49
3	45	4	12	35	Cari	Y	B	0	0	28:20:00	28	20	29:51:00	29	51	91
4	45	8	10	43	Cari	Y	B	1	0	23:34	23	34	28:24:00	28	24	290
1	46	2	13	12	Skylar	B	Y	0	0	43:00:00	43	0	44:35:00	44	35	95
2	46	6	11	22	Skylar	P	R	0	0	38:48:00	38	48	44:31:00	44	31	343
3	46	4	12	35	Cari	C	YG	0	0	28:34:00	28	34	28:35:00	28	35	1
4	46	8	10	43	Cari	RG	B	0	0	29:16:00	29	16	29:51:00	29	51	35
1	47	12	8	7	Cari	Y	C	0	0	1:01:00	1	1	1:05	1	5	4
2	47	6	11	22	Skylar	YG	RG	0	0	41:30:00	41	30	43:00:00	43	0	90
3	47	4	12	35	Cari	RG	PG	0	0	29:37:00	29	37	30:00:00	30	0	23
4	47	8	10	43	Cari	PG	R	0	0	35:12:00	35	12	36:25:00	36	25	73
1	48	12	8	7	Cari	Y	P	0	0	3:04	3	4	3:27	3	27	23
2	48	2	13	24	Skylar	RG	GB	0	0	0:16	0	16	0:32	0	32	16
4	48	8	10	43	Cari	O	YG	0	0	35:22:00	35	22	36:25:00	36	25	63
3	48.1	4	12	35	Cari	RB	Y	0	0	29:51:00	29	51	29:52:00	29	52	1
3	48.2	4	12	35	Cari	RB	B	0	0	29:51:00	29	51	29:52:00	29	52	1
2	49	2	13	24	Skylar	C	P	1	0	0:40	0	40	8:50	8	50	490
4	49	8	10	43	Cari	B	P	0	0	41:44:00	41	44	42:46:00	42	46	62
1	49.1	12	8	7	Cari	Y	G	0	1	3:16	3	16	3:27	3	27	11
